frame,summed_nmse
0,0.051468826830387115
1,0.04117688536643982
2,0.03507763519883156
3,0.03320172056555748
4,0.031241359189152718
5,0.031190315261483192
6,0.04091126099228859
7,0.03479287028312683
8,0.03703143075108528
9,0.03851139172911644
10,0.043024759739637375
11,0.03706153854727745
12,0.03742058575153351
13,0.04032111167907715
14,0.03528366610407829
15,0.036364857107400894
16,0.029783830046653748
17,0.03164329752326012
18,0.031744565814733505
19,0.032078396528959274
20,0.03261417895555496
21,0.0322718471288681
22,0.03610052540898323
23,0.04145181551575661
24,0.04279281571507454
25,0.04243870824575424
26,0.03738795593380928
27,0.03822324797511101
28,0.03422630950808525
29,0.035605378448963165
30,0.03171906620264053
31,0.03074306808412075
32,0.031770046800374985
33,0.02955888956785202
34,0.03337322920560837
35,0.03892940655350685
36,0.04785975068807602
37,0.03708983212709427
38,0.03402113914489746
39,0.03350003436207771
40,0.03349340707063675
41,0.03856717050075531
42,0.08996081352233887
43,0.27065032720565796
44,0.07595909386873245
45,0.050206124782562256
46,0.039300695061683655
47,0.03594187647104263
48,0.037913575768470764
49,0.03747928887605667
